city,date,player_of_match,venue,team1,team2,winner,result,result_margin
Bangalore,18-04-2008,BB McCullum,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,runs,140
Chandigarh,19-04-2008,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,runs,33
Delhi,19-04-2008,MF Maharoof,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,wickets,9
Mumbai,20-04-2008,MV Boucher,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,5
Kolkata,20-04-2008,DJ Hussey,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,wickets,5
Jaipur,21-04-2008,SR Watson,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,wickets,6
Hyderabad,22-04-2008,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils,Delhi Daredevils,wickets,9
Chennai,23-04-2008,ML Hayden,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,runs,6
Hyderabad,24-04-2008,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,wickets,3
Chandigarh,25-04-2008,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Kings XI Punjab,runs,66
Bangalore,26-04-2008,SR Watson,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,wickets,7
Chennai,26-04-2008,JDP Oram,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,wickets,9
Mumbai,27-04-2008,AC Gilchrist,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers,Deccan Chargers,wickets,10
Chandigarh,27-04-2008,SM Katich,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,wickets,4
Bangalore,28-04-2008,MS Dhoni,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,runs,13
Kolkata,29-04-2008,ST Jayasuriya,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,wickets,7
Delhi,30-04-2008,GD McGrath,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,runs,10
Hyderabad,01-05-2008,SE Marsh,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kings XI Punjab,Kings XI Punjab,wickets,7
Jaipur,01-05-2008,SA Asnodkar,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,runs,45
Chennai,02-05-2008,V Sehwag,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,wickets,8
Hyderabad,25-05-2008,R Vinay Kumar,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,5
Chandigarh,03-05-2008,IK Pathan,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,runs,9
Mumbai,04-05-2008,SM Pollock,Dr DY Patil Sports Academy,Mumbai Indians,Delhi Daredevils,Mumbai Indians,runs,29
Jaipur,04-05-2008,Sohail Tanvir,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,wickets,8
Bangalore,05-05-2008,S Sreesanth,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,wickets,6
Chennai,06-05-2008,AC Gilchrist,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Deccan Chargers,Deccan Chargers,wickets,7
Mumbai,07-05-2008,A Nehra,Dr DY Patil Sports Academy,Mumbai Indians,Rajasthan Royals,Mumbai Indians,wickets,7
Delhi,08-05-2008,MS Dhoni,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,wickets,4
Kolkata,08-05-2008,SC Ganguly,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,runs,5
Jaipur,09-05-2008,YK Pathan,Sawai Mansingh Stadium,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,wickets,8
Bangalore,28-05-2008,CRD Fernando,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,wickets,9
Chennai,10-05-2008,L Balaji,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,runs,18
Hyderabad,11-05-2008,SC Ganguly,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,runs,23
Jaipur,11-05-2008,SR Watson,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,wickets,3
Chandigarh,12-05-2008,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,wickets,9
Kolkata,13-05-2008,Shoaib Akhtar,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,runs,23
Mumbai,14-05-2008,ST Jayasuriya,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,wickets,9
Chandigarh,28-05-2008,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,runs,41
Delhi,15-05-2008,A Mishra,Feroz Shah Kotla,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,runs,12
Mumbai,16-05-2008,SM Pollock,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,wickets,8
Delhi,17-05-2008,DPMD Jayawardene,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,runs,6
Jaipur,17-05-2008,GC Smith,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,runs,65
Hyderabad,18-05-2008,DJ Bravo,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Mumbai Indians,Mumbai Indians,runs,25
Kolkata,18-05-2008,M Ntini,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,runs,3
Bangalore,19-05-2008,SP Goswami,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,wickets,5
Kolkata,20-05-2008,YK Pathan,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,wickets,6
Mumbai,21-05-2008,SE Marsh,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,runs,1
Chennai,21-05-2008,A Kumble,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,14
Chandigarh,23-05-2008,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Deccan Chargers,Kings XI Punjab,wickets,6
Delhi,24-05-2008,KD Karthik,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,wickets,5
Chennai,24-05-2008,JA Morkel,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,runs,10
Bangalore,03-05-2008,P Kumar,M Chinnaswamy Stadium,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,runs,3
Kolkata,25-05-2008,Umar Gul,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,wickets,3
Jaipur,26-05-2008,Sohail Tanvir,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,wickets,5
Hyderabad,27-05-2008,SK Raina,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Chennai Super Kings,Chennai Super Kings,wickets,7
Mumbai,30-05-2008,SR Watson,Wankhede Stadium,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,runs,105
Mumbai,31-05-2008,M Ntini,Wankhede Stadium,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,wickets,9
Mumbai,01-06-2008,YK Pathan,Dr DY Patil Sports Academy,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,wickets,3
Cape Town,18-04-2009,SR Tendulkar,Newlands,Chennai Super Kings,Mumbai Indians,Mumbai Indians,runs,19
Cape Town,18-04-2009,R Dravid,Newlands,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,runs,75
Cape Town,19-04-2009,DL Vettori,Newlands,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,wickets,10
Cape Town,19-04-2009,RP Singh,Newlands,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,wickets,8
Port Elizabeth,20-04-2009,M Muralitharan,St George's Park,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,runs,92
Durban,21-04-2009,CH Gayle,Kingsmead,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,runs,11
Cape Town,22-04-2009,AC Gilchrist,Newlands,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,runs,24
Durban,23-04-2009,AB de Villiers,Kingsmead,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,runs,9
Cape Town,23-04-2009,YK Pathan,Newlands,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,tie,NA
Durban,24-04-2009,RS Bopara,Kingsmead,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,wickets,7
Durban,25-04-2009,PP Ojha,Kingsmead,Deccan Chargers,Mumbai Indians,Deccan Chargers,runs,12
Port Elizabeth,26-04-2009,TM Dilshan,St George's Park,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,wickets,6
Cape Town,26-04-2009,KC Sangakkara,Newlands,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,runs,27
Durban,27-04-2009,HH Gibbs,Kingsmead,Chennai Super Kings,Deccan Chargers,Deccan Chargers,wickets,6
Port Elizabeth,27-04-2009,SR Tendulkar,St George's Park,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,runs,92
Centurion,28-04-2009,YK Pathan,SuperSport Park,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,wickets,5
Durban,29-04-2009,MV Boucher,Kingsmead,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,wickets,5
Durban,29-04-2009,KC Sangakkara,Kingsmead,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,runs,3
Centurion,30-04-2009,DP Nannes,SuperSport Park,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,wickets,6
Centurion,30-04-2009,SK Raina,SuperSport Park,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,runs,38
East London,01-05-2009,JP Duminy,Buffalo Park,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,runs,9
Durban,01-05-2009,Yuvraj Singh,Kingsmead,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,runs,8
Port Elizabeth,02-05-2009,YK Pathan,St George's Park,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,wickets,3
Johannesburg,02-05-2009,SB Jakati,New Wanderers Stadium,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,runs,18
Port Elizabeth,03-05-2009,DPMD Jayawardene,St George's Park,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,wickets,6
Johannesburg,03-05-2009,JH Kallis,New Wanderers Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,wickets,9
East London,04-05-2009,MS Dhoni,Buffalo Park,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,runs,78
Durban,05-05-2009,GC Smith,Kingsmead,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,runs,78
Durban,05-05-2009,G Gambhir,Kingsmead,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,wickets,9
Centurion,06-05-2009,RG Sharma,SuperSport Park,Deccan Chargers,Mumbai Indians,Deccan Chargers,runs,19
Centurion,07-05-2009,A Singh,SuperSport Park,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,wickets,7
Centurion,07-05-2009,ML Hayden,SuperSport Park,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,runs,12
East London,08-05-2009,A Nehra,Buffalo Park,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,wickets,7
Kimberley,09-05-2009,DPMD Jayawardene,De Beers Diamond Oval,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,wickets,3
Kimberley,09-05-2009,S Badrinath,De Beers Diamond Oval,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,wickets,7
Port Elizabeth,10-05-2009,JP Duminy,St George's Park,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,runs,16
Johannesburg,10-05-2009,A Mishra,New Wanderers Stadium,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,wickets,7
Kimberley,11-05-2009,DR Smith,De Beers Diamond Oval,Deccan Chargers,Rajasthan Royals,Deccan Chargers,runs,53
Centurion,12-05-2009,LRPL Taylor,SuperSport Park,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,wickets,6
Centurion,12-05-2009,Harbhajan Singh,SuperSport Park,Kings XI Punjab,Mumbai Indians,Mumbai Indians,wickets,8
Durban,13-05-2009,R Bhatia,Kingsmead,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,runs,12
Durban,14-05-2009,LRPL Taylor,Kingsmead,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,wickets,2
Durban,14-05-2009,SK Warne,Kingsmead,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,runs,2
Bloemfontein,15-05-2009,B Lee,OUTsurance Oval,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,wickets,6
Port Elizabeth,16-05-2009,ML Hayden,St George's Park,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,wickets,7
